Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
Citrix Systems Inc.,CTXS,17737610,2182553,0.229399,Software,524937.000,USD
Seagate Technology PLC,STX,G7945M10,B58JVZ5,0.228510,Technology Hardware Storage & Peripherals,1010010.000,USD
Qorvo Inc.,QRVO,74736K10,BR9YYP4,0.215815,Semiconductors & Semiconductor Equipment,502461.000,USD
Leidos Holdings Inc.,LDOS,52532710,BDV82B8,0.205823,IT Services,576738.000,USD
Jack Henry & Associates Inc.,JKHY,42628110,2469193,0.193679,IT Services,328461.000,USD
Western Union Company,WU,95980210,B1F76F9,0.192892,IT Services,1808368.000,USD
Arista Networks Inc.,ANET,04041310,BN33VM5,0.175010,Communications Equipment,232160.000,USD
DXC Technology Co.,DXC,23355L10,BYXD7B3,0.160944,IT Services,1117532.000,USD
Juniper Networks Inc.,JNPR,48203R10,2431846,0.139768,Communications Equipment,1475215.000,USD
F5 Networks Inc.,FFIV,31561610,2427599,0.139473,Communications Equipment,256503.000,USD
STATE STREET INSTL US GOVERNME STIF USD,85749246,85749246,Unassigned,0.137835,Unassigned,34799200.000,USD
FLIR Systems Inc.,FLIR,30244510,2344717,0.121853,Electronic Equipment Instruments & Components,578494.000,USD
Xerox Holdings Corporation,XRX,98421M10,BJJD5G3,0.120631,Technology Hardware Storage & Peripherals,816289.000,USD
IPG Photonics Corporation,IPGP,44980X10,2698782,0.083306,Electronic Equipment Instruments & Components,153095.000,USD
Alliance Data Systems Corporation,ADS,01858110,2762030,0.073389,IT Services,175776.000,USD
